Acronym|Term
HET|Hsp27 Ere Tata-binding
HGFR|Hepatocyte Growth Factor Receptor
HGF|Hepatocyte Growth Factor
HG|Hyperglycemic Glycogenolytic
HIE|Health Information Exchange
HIF|Hypoxia Inducible Factor
HIP1|Huntingtin Interacting Protein 1
HIPK2|Homeodomain Interacting Protein Kinase 2
HIT|Heparin Induced Thrombocytopenia
HIV|Human Immunodeficiency Virus
HKSP|Human Kinesin Spindle Protein
HL7|Health Level 7
HLA|Human Leukocyte Antigen
HLA|Human Leukocyte Antigen-dr
HLTF|Helicase Like Transcription Factor
HMGA1|High Mobility Group At-hook 1
HMGA2|High Mobility Group At-hook 2
HMGB2|High Mobility Group Box 2
HMG|High Mobility Group
HMMR|Hyaluronan Mediated Motility Receptor
HMN|Hereditary Motor Neuronopathy
HNF1A|Hepatocyte Nuclear Factor 1 Alpha
HNF1B|Hepatocyte Nuclear Factor 1 Beta
HNF1|Hepatic Nuclear Factor 1
HNF1|Hepatocyte Nuclear Factor 1
HNF4A|Hepatic Nuclear Factor 4 Alpha
HNF4A|Hepatocyte Nuclear Factor 4 Alpha
HOTS|H19 Opposite Tumor Suppressor
HP1|Heterochromatin Protein 1
HP1|Heterochromatin Protein 1-alpha
HPV|Human Papilloma Virus
HPV|Human Papillomavirus Vaccine
HP|Hp Protein
HRG|Histidine-proline Rich Glycoprotein
HRR|Homologous Recombination Repair
HR|Heart Rate
HSP|Heat Shock Protein
HSV|Herpes Simplex Virus
HUI|Health Utilities Index
HUVEC|Human Umbilical Vein Endothelial Cells
IA|Ia Antigen
IBMFS|Inherited Bone Marrow Failure Syndrome
IB|Intrahepatic Bile
IB|Item Bank
ICER|Inducible Camp Early Repressor
ICK|Intestinal Cell Kinase
IC|Informed Consent
IC|Inspiratory Capacity
IDE|Investigational Device Exemption
IDL|Intermediate Density Lipoprotein
IDL|Intermediate Density Lipoproteins
IDMC|Independent Data Monitoring Committee
IEC|Independent Ethics Committee
IE|Inhibitor Epsilon
IGF1|Insulin-like Growth Factor 1
IGF1|Insulin-like Growth Factor 1a
IGF1|Insulin-like Growth Factor 1b
IGF2R|Insulin-like Growth Factor 2 Receptor
IGF2|Insulin-like Growth Factor 2
IGFBP|Insulin-like Growth Factor Binding Protein
IGF|Insulin-like Growth Factor
IGF|Insulin-like Growth Factor-binding
IGF|Insulin-like Growth Factor-dependent
IG|Ig Gene
IIM|Idiopathic Inflammatory Myopathy
IIRS|Illness Intrusiveness Ratings Scale
II|Ia-associated Invariant
II|Igf Ii
II|Ii I
II|Ii Inhibitor
II|Ii Inner
II|Ii Integral
II|Ii Interferon
II|Ii Interleukin-1
II|Ii Intrahepatic
II|Ii Invariant
II|Ii Isoform
II|Ii, I
II|Il1 Inhibitor
II|Immune Interferon
II|Inhibitor I1pp2a
II|Inhibitor I2pp2a
II|Interleukin Ii
II|Intracellular Il-1
II|Intracellular Interleukin-1
ILC|Innate Lymphoid Cell
ILC|Innate Lymphoid Cells
ILK|Integrin Linked Kinase
ILS|Integrated Learning System
IMC|Imaging Mass Cytometry
IM|Im Mouse
IND|Investigational New Drug
INN|International Nonproprietary Name
INRG|International Neuroblastoma Risk Group
IOPN|Intraductal Oncocytic Papillary Neoplasm
IPF1|Insulin Promoter Factor 1
IPSS|International Prognostic Scoring System
IQ|Intelligence Quotient
IRB|Independent Review Board
IRB|Institutional Review Board
IRF1|Interferon Regulatory Factor 1
IRF2|Interferon Regulatory Factor 2
IRF3|Interferon Regulatory Factor 3
IRF4|Interferon Regulatory Factor 4
IRF5|Interferon Regulatory Factor 5
IRF6|Interferon Regulatory Factor 6
IRF7|Interferon Regulatory Factor 7
IRF8|Interferon Regulatory Factor 8
IRF9|Interferon Regulatory Factor 9
IRF|Interferon Regulatory Factor
IRP|Int-1 Related Protein
IRS1|Insulin Receptor Substrate 1
IRS2|Insulin Receptor Substrate 2
IRS4|Insulin Receptor Substrate 4
IRT|Interactive Response Technology
IRV|Inspiratory Reserve Volume
ISG|Italian Sarcoma Group
ISH|In Situ Hybridization
ISP|Internet Service Provider
ISS|International Staging System
IS|Insertion Sequence
ITK|Il2-inducible T-cell Kinase
ITK|Inducible T-cell Kinase
ITMIG|International Thymic Malignancy Interest Group
IT|Information Technology
IU|International Unit
IU|International Units
IVC|Inspiratory Vital Capacity
JC|John Cunningham
JIA|Juvenile Idiopathic Arthritis
JPEG|Joint Photographic Experts Group
JTB|Jumping Translocation Breakpoint
K7|Keratin 7
KAP|Kinase Associated Phosphatase
KGFR|Keratinocyte Growth Factor Receptor
KGF|Keratinocyte Growth Factor
KIM1|Kidney Injury Molecule 1
KLC1|Kinesin Light Chain 1
KLF1|Kruppel Like Factor 1
KLF2|Kruppel Like Factor 2
KLF3|Kruppel Like Factor 3
KLF4|Kruppel Like Factor 4
KSHV|Kaposi Sarcoma Herpes Virus
KUSP|Kilo United States Pharmacopeia
KUSP|Kilo United States Pharmacopoeia
KWWH|Keratoderma With Woolly Hair
L1|L 1
LAG3|Lymphocyte Activation Gene 3
LAK|Lymphokine Activated Killer
LAMP2|Lysosomal Associated Membrane Protein 2
LASP1|Lim And Sh3 Protein 1
LAST|Local Anesthetic Systemic Toxicity
LAVH|Laparoscopically Assisted Vaginal Hysterectomy
LBBB|Left Bundle Branch Block
LBC|Lymphoid Blast Crisis
LBP|Lipopolysaccharide Binding Protein
LBR|Lamin B Receptor
LC3|Light Chain 3
LC3|Light Chain 3-like
LCF|Lymphocyte Chemoattractant Factor
LCIS|Lobular Ca In Situ
LCIS|Lobular Carcinoma In Situ
LCI|Lung Clearance Index
LCP1|Lymphocyte Cytosolic Protein 1
LCP2|Lymphocyte Cytosolic Protein 2
LC|Lymphoid Cell
LC|Lymphoid Cells
LDB1|Lim Domain Binding 1
LDB2|Lim Domain Binding 2
LDB3|Lim Domain Binding 3
LDH|Lactate Dehydrogenase H
LDLR|Low Density Lipoprotein Receptor
LDL|Low Density Lipoprotein
LDL|Low Density Lipoprotein-cholesterol
LDL|Low Density Lipoprotein-related
LDS|Limited Data Set
LEA|Local Education Agency
LED|Light Emitting Diode
LEF1|Lymphoid Enhancer-binding Factor 1
LE|Long Evans
LFA1|Lymphocyte Function-associated Antigen 1
LFA3|Lymphocyte Function-associated Antigen 3
LGG|Low Grade Glial
LGG|Low Grade Glioma
LGI1|Leucine-rich, Glioma Inactivated 1
LHB|Luteinizing Hormone, Beta
LH|Leuteinizing Hormone
LH|Luteinizing Hormone
LIFR|Leukemia Inhibitory Factor Receptor
LIF|Leukemia Inhibitory Factor
LK4|Lipid Kinase 4
LLM|Large Language Model
LMF1|Lipase Maturation Factor 1
LM|Lm Mouse
LN|Lobular Neoplasia
LOS|Limits Of Stability
LP|Lymphocyte Predominance
LP|Lymphocyte Predominant
LRBA|Lps Responsive Beige-like Anchor
LRC|Leukocyte Receptor Cluster
LRP1|Lipoprotein Receptor-related Protein 1
LRP2|Lipoprotein Receptor-related Protein 2
LRP4|Lipoprotein Receptor-related Protein 4
LRP5|Lipoprotein Receptor-related Protein 5
LRP8|Lipoprotein Receptor-related Protein 8
LRRK1|Leucine Rich Repeat Kinase 1
LRRN2|Leucine Rich Repeat Neuronal 2
LRR|Leucine Rich Repeat
LSF|Late Sv40 Factor
LTK|Leukocyte Tyrosine Kinase
LTRPC|Long Transient Receptor Potential Channel
LT|Less Than
LT|Lesser Than
LV|Left Ventricular
LXR|Liver X Receptor-like
LX|Liver X
M1|Mu 1
M1|Mu, 1
M1|Muscarinic 1
M3|Mu 3
M3|Muscarinic 3
M4|Mu 4
M4|Muscarinic 4
M4|Muscarinic, 4
M5|Muscarinic 5
MA1|Ma Antigen 1
MA2|Ma Antigen 2
MACF1|Microtubule Actin Crosslinking Factor 1
MAC|Membrane Attack Complex
MAD2|Mitotic Arrest Deficient 2
MAD2|Mitotic Arrest Deficient-like 2
MADD|Map-kinase Activating Death Domain
MADD|Map-kinase Activating Death Domain-containing
MADD|Mothers Against Decapentaplegic, Drosophila
MADH2|Mothers Against Dpp Homolog 2
MADH4|Mothers Against Decapentaplegic Homolog 4
MADH4|Mothers Against Dpp Homolog 4
MADH6|Mothers Against Decapentaplegic Homolog 6
MADH6|Mothers Against Dpp Homolog 6
MADH7|Mothers Against Decapentaplegic Homolog 7
MADH7|Mothers Against Dpp Homolog 7
MAD|Mothers Against Decapentaplegic
MAD|Mothers Against Dpp
MAG|Myelin Associated Glycoprotein
MANF|Mesencephalic Astrocyte-derived Neurotrophic Factor
MAP2|Microtubule Associated Protein 2
MAPD|Median Absolute Percentage Deviation
MAPK|Mitogen Activated Protein Kinase
MAP|Microtubule Associated Protein
MAP|Mitogen Activated Protein
MARK1|Microtubule Affinity Regulating Kinase 1
MARK3|Microtubule Affinity Regulating Kinase 3
MARK|Microtubule Affinity Regulating Kinase
MASP2|Mbl Associated Serine Protease 2
MAT|Mascc Antiemesis Tool
MAZ|Myc Associated Zinc
MBD4|Methyl-cpg Binding Domain 4
MBL|Mannan Binding Lectin
MBO|Malignant Bowel Obstruction
MBP|Myelin Basic Protein
MCAM|Melanoma Cell Adhesion Molecule
MCL|Mantle Cell Lymphoma
MCN|Mucinous Cystic Neoplasm
MDL|Molecular Design Limited
MDM2|Mouse Double Minute 2
MDM4|Mouse Double Minute 4
MD|M D
ME1|Malic Enzyme 1
MEC1|Mitosis Entry Checkpoint 1
MEN1|Multiple Endocrine Neoplasia 1
MEN|Multiple Endocrine Neoplasia
MEP|Maximal Expiratory Pressure
MFF|Mitochondrial Fission Factor
MFH|Malignant Fibrous Histiocytoma
MGA|Max Gene Associated
MGP|Matrix Gla Protein
MGSA|Melanoma Growth Stimulating Activity
MGSA|Melanoma Growth Stimulatory Activity
MHC|Major Histocompatibility Complex
MHC|Myosin, Heavy Chain
MH|Mesenchymal Hamartoma
MIA2|Melanoma Inhibitory Activity 2
MIA|Melanoma Inhibitory Activity
MIF|Migration Inhibitory Factor
MINT|Msx2 Interacting Nuclear Target
MIP1G|Macrophage Inflammatory Protein 1 Gamma
MIP2A|Macrophage Inflammatory Protein 2, Alpha
MIP2B|Macrophage Inflammatory Protein 2, Beta
MIP2|Macrophage Inflammatory Protein 2-beta
MIP|Maximal Inspiratory Pressure
MITF|Melanocyte Inducing Transcription Factor
MI|Myocardial Infarction
MKK6|Map Kinase Kinase 6
MK|Menaquinone K4
MLCK|Myosin Light Chain Kinase
MLC|Myosin Light Chain
MLF1|Myeloid Leukemia Factor 1
MLL|Mixed Lineage Leukemia
MME|Morphine Milligram Equivalents
MMIF|Macrophage Migration Inhibitory Factor
MMR|Measles Mumps Rubella
MMTV|Mouse Mammary Tumor Virus
MMTV|Murine Mammary Tumor Virus
MMT|Manual Muscle Test
MM|Matrix Market
MM|Mm Measurement
MM|Mm Mouse
MOB|Mps One Binder
MOG|Myelin Oligodendrocyte Glycoprotein
MOK|Mapk/mak/mrk Overlapping Kinase
MOU|Memorandum Of Understanding
MPC1|Mitochondrial Pyruvate Carrier 1
MPF|Megakaryocyte Potentiating Factor
MPI|Mannose Phosphate Isomerase
MPNST|Melanocytic Peripheral Nerve Sheath Tumor
MPNST|Melanotic Peripheral Nerve Sheath Tumor
MPP1|Membrane Palmitoylated Protein 1
MPP1|Membrane Protein, Palmitoylated 1
MPP2|Membrane Palmitoylated Protein 2
MPP2|Membrane Protein, Palmitoylated 2
MPP3|Membrane Palmitoylated Protein 3
MPP3|Membrane Protein Palmitoylated 3
MPP3|Membrane Protein, Palmitoylated 3
MPRIP|Myosin Phosphatase Rho Interacting Protein
MPZ|Myelin Protein Zero
MP|Mercaptopurine, Prednisolone
MRC|Medical Research Council
MRI|Magnetic Resonance Imaging
MRN|Medical Record Number
MRP1|Multidrug Resistance-associated Protein 1
MRP|Mitochondrial Rna Processing
MRP|Mutual Recognition Procedure
MRS|Magnetic Resonance Spectroscopic
MRS|Magnetic Resonance Spectroscopy
MRTFA|Myocardin Related Transcription Factor A
MRTFB|Myocardin Related Transcription Factor B
MR|Magnetic Resonance
MR|Medical Record
MSAS|Memorial Symptom Assessment Scale
MSP|Macrophage Stimulating Protein
MSR1|Macrophage Scavenger Receptor 1
MTOR|Mammalian Target Of Rapamycin
MTOR|Mechanistic Target Of Rapamycin
MTS1|Multiple Tumor Suppressor 1
MTS2|Multiple Tumor Suppressor 2
MTTP|Microsomal Triglyceride Transfer Protein
MT|More Than
MVI|Macroscopic Vascular Invasion
MVP|Major Vault Protein
MV|Measles Virus
MW|Molecular Weight
N-|N-(3-hydroxy-7-mercapto-1-oxo-4-heptenyl)-d-valyl-d-cysteinyl-(z)-2,3 -didehydro-2-aminobutanoyl-
NADA|New Animal Drug Application
NAD|Nad-dependent Aldehyde Dehydrogenase
NAD|Nad-linked Aldehyde Dehydrogenase
NAD|Nadp-dependent Aldehyde Dehydrogenase
NAF1|Nuclear Assembly Factor 1
NAPA|Nsf Attachment Protein Alpha
NAPB|Nsf Attachment Protein Beta
NAP|Neutrophil Activation Probe
NA|Neutrophil-specific Antigen
NB|Notified Body
NCAM1|Neural Cell Adhesion Molecule 1
NCAM2|Neural Cell Adhesion Molecule 2
NCF1|Neutrophil Cytosolic Factor 1
NCF2|Neutrophil Cytosolic Factor 2
NCF4|Neutrophil Cytosolic Factor 4
NCF|Neutrophil Cytosolic Factor
NCI|National Cancer Institute
NCR|Natural Cytotoxicity Receptor
NCR|Nk Cell-activating Receptor
NCS1|Neuronal Calcium Sensor 1
NC|Nash County
NC|North Carolina
NC|Northampton County
NDA|New Drug Application
NDC|National Drug Code
NDRG1|N-myc Downstream Regulated Gene 1
ND|North Dakota
NFE2|Nuclear Factor Erythroid 2-like
NFE2|Nuclear Factor, Erythroid 2
NFE2|Nuclear Factor, Erythroid 2-like
NFKB|Nuclear Factor Kappa B
NGFR|Nerve Growth Factor Receptor
NGF|Nerve Growth Factor
NH|New Hampshire
NJ|New Jersey
NKC|Natural Killer Cell
NKC|Natural Killer Cells
NKTR|Natural Killer Triggering Receptor
NKT|Natural Killer T-cells
NKT|Natural Killer T-lymphocyte
NKT|Natural Killer T-lymphocytes
NK|Natural Killer
NLK|Nemo Like Kinase
NLR|Nacht, Leucine Rich
NLT|Not Less Than
NMDP|National Marrow Donor Program
NMPA|National Medical Products Administration
NMR|Nuclear Magnetic Resonance
NMT|Not More Than
NM|New Mexico
NNDSS|National Notifiable Diseases Surveillance System
NNK|Nicotine-derived Nitrosamine Ketone
NNT|Nicotinamide Nucleotide Transhydrogenase
NOEL|No Observable Effect Level
NOS1|Nitric Oxide Synthase 1
NOS2|Nitric Oxide Synthase 2
NOS2|Nitric Oxide Synthase 2a
NOS3|Nitric Oxide Synthase 3
NOS|Nevus Of Skin
NOS|Nitric Oxide Synthase
NOS|Not Otherwise Specified
NO|Nitric Oxide
NPPB|Natriuretic Peptide Precursor B
NRBP1|Nuclear Receptor Binding Protein 1
NRIP1|Nuclear Receptor Interacting Protein 1
NRIP3|Nuclear Receptor Interacting Protein 3
NRK|Nik Related Kinase
NSCLC|Non Small Cell Lung Cancer
NSC|Nomenclature Standards Committee
NSD2|Nuclear Set Domain-containing 2
NSE|Neuron Specific Enolase
NTRK|Neurotrophic Tyrosine Receptor Kinase
NYTS|National Youth Tobacco Survey
NY|New York
OARS|Older Americans Resource Scale
OCIA|Ovarian Cancer Immunoreactive Antigen
OCIA|Ovarian Carcinoma Immunoreactive Antigen
OCP2|Of Corti Protein 2
OCT|Optical Coherence Tomography
OCT|Optimal Cutting Temperature
ODI|Oswestry Disability Index
OD|Optical Density
OGFR|Opioid Growth Factor Receptor
OGI|Observer Global Impression
OLR1|Ox Ldl Receptor 1
OLR1|Oxidized Ldl Receptor 1
OMFAQ|Oars Multidimensional Functional Assessment Questionnaire
ORF|Open Reading Frame
OS|Os Study
OS|Osteosarcoma Study
OTC|Over The Counter
P1NP|Procollagen 1 N-terminal Propeptide
P2|Protein 2
P3NP|Procollagen 3 N-terminal Propeptide
P3|Protein 3
P5|Protein 5
PACAP|Pituitary Adenylate Cyclase Activating Polypeptide
PAK5|P21 Activated Kinase 5
PAP2|Phosphatidic Acid Phosphatase 2b
PAR4|Prostate Apoptosis Response 4
PAR|Prostate Androgen Regulated
PAS|Periodic Acid Schiff
PAS|Periodic Acid-schiff Staining
PAS|Platelets Additive Solution
PAWR|Prkc, Apoptosis, Wt1, Regulator
PA|Pulmonary Arterial
PBK|Pdz Binding Kinase
PBPC|Peripheral Blood Progenitor Cell
PBP|Platelet Basic Protein
PBP|Pro-platelet Basic Protein
PB|Perineal Body
PC7|Prohormone Convertase 7
PC7|Proprotein Convertase 7
PC9|Proprotein Convertase 9
PCA3|Prostate Cancer Antigen 3
PCA3|Prostate Cancer Associated 3
PCAT1|Prostate Cancer Associated Transcript 1
PCA|Protein Complementation Assay
PCI|Percutaneous Coronary Intervention
PCNA|Proliferating Cell Nuclear Antigen
PCR|Polymerase Chain Reaction
PCV|Personalized Cancer Vaccine
PC|Pc Cell-derived
PC|Plasma Cell
PC|Plasma Cells
PC|Pyruvate Carboxylase
PDGFC|Platelet Derived Growth Factor C
PDGFD|Platelet Derived Growth Factor D
PDGFR|Platelet Derived Growth Factor Receptor
PDGF|Platelet Derived Growth Factor
PDI|Protein Disulfide Isomerase
PDK2|Pyruvate Dehydrogenase Kinase 2
PDK3|Pyruvate Dehydrogenase Kinase 3
PDK|Pyruvate Dehydrogenase Kinase
PDL1|Programmed Death Ligand 1
PDQ|Physician Data Query
PDSS2|Prenyl Diphosphate Synthase, Subunit 2
PDX|Patient Derived Xenograft
PD|Progressive Disease
PEA3|Polyomavirus Enhancer Activator 3
PEAK1|Pseudopodium Enriched Atypical Kinase 1
PECAM|Platelet Endo Cell Adhesion Molecule
PECAM|Platelet Endothelial Cell Adhesion Molecule
PEDF|Pigment Epithelium Derived Factor
PEF|Peak Expiratory Flow
PEG3|Paternally Expressed Gene 3
PEG|Percutaneous Endoscopic Gastrostomy
PET|Positron Emission Tomography
PF4|Platelet Factor 4
PFG|Percutaneous Fluoroscopic Gastrostomy
PGF|Placental Growth Factor
PGI|Patient Global Impression
PHQ-9|Patient Health Questionnaire - 9
PHQ|Patient Health Questionnaire
PH|Pleckstrin Homology
PI3|Peptidase Inhibitor 3
PI5|Peptidase Inhibitor 5
PID|Phosphotyrosine Interaction Domain
PIF1|Petite Integration Frequency 1
PII|Personally Identifiable Information
PIN|Prostate Intraepithelial Neopl.
PIN|Prostate Intraepithelial Neoplasia
PIN|Prostatic Intraepithelial Neoplasia
PKA|Protein Kinase A
PKB|Protein Kinase B
PKB|Protein Kinase B-alpha
PKD1|Polycystic Kidney Disease 1
PKD2|Polycystic Kidney Disease 2
PKD|Paroxysmal Kinesigenic Dyskinesia
PKL|Pyruvate Kinase L
PKM|Pyruvate Kinase Muscle
PKM|Pyruvate Kinase, Muscle
PKN|Protein Kinase N
PKR|Pyruvate Kinase R
PK|Phosphoenolpyruvate Kinase
PK|Pyruvate Kinase
PL|Polypodium Leucotomos
PMP2|Peripheral Myelin Protein 2
PNP|Purine Nucleoside Phosphorylase
PNRC1|Proline-rich Nuclear Receptor Coactivator 1
POT1|Protection Of Telomeres 1
PPARG|Peroxisome Proliferative Activated Receptor, Gamma
PPAR|Peroxisome Proliferative Activated Receptor
PPD|Protected Personal Data
PPD|Purified Protein Derivative
PPI|Pan-notch Ppi Inhibitor
PPI|Pan-notch Protein-protein Interaction
PPM1D|Protein Phosphatase, Magnesium-dependent, 1, Delta
PPOS|Patient Provider Orientation Scale
PPO|Preferred Provider Organization
PPY|Pancreatic Polypeptide Y
PRA|Panel Reactive Antibody
PRA|Percent Reactive Antibody
PRC1|Polycomb Repressive Complex 1
PRCC|Papillary Renal Cell Carcinoma
PRO|Patient Reported Outcome
PRO|Patient Reported Outcomes
PRP|Platelet Rich Plasma
PRRT|Peptide Receptor Radionuclide Therapy
PR|Positive Regulatory
PR|Protein Riz
PR|Puerto Rico
PSA|Prostate Specific Antigen
PSA|Prostatic Specific Antigen
PSCA|Prostate Stem Cell Antigen
PSF1|Peptide Supply Factor 1
PSF2|Peptide Supply Factor 2
PSK2|Prostate-derived Ste20-like Kinase 2
PSQI|Pittsburgh Sleep Quality Index
PSTI|Pancreatic Secretory Trypsin Inhibitor
PSX|Proteasome Subunit X
PTBP2|Polypyrimidine Tract Binding Protein 2
PTBP3|Polypyrimidine Tract Binding Protein 3
PTB|Polypyrimidine Tract Binding
PTK2B|Protein Tyrosine Kinase 2 Beta
PTK2|Protein Tyrosine Kinase 2
PTK4|Protein Tyrosine Kinase 4
PTK5|Protein Tyrosine Kinase 5
PTK6|Protein Tyrosine Kinase 6
PTK7|Protein Tyrosine Kinase 7
PTLD|Post Transplant Lymphoproliferative Disorder
PTPRT|Protein Tyrosine Phosphatase, Receptor Type
PTP|Protein Tyrosine Phosphatase
PTS1|Peroxisomal Targeting Signal 1
PTS2|Peroxisomal Targeting Signal 2
PTS2|Peroxisome Targeting Signal 2
PT|Pt Term
PUI|Patient Under Investigation
PUI|Person Under Investigation
PXR|Pregnane X Receptor
QA|Qaulity Assurance
QA|Quality Assurance
QC|Quality Control
QOL|Quality Of Life
QTL6|Quantitative Trait Locus 6
R7|Recombinant 7
RAE1|Ribonucleic Acid Export 1
RAFT|Related Adhesion Focal Tyrosine
RAG1|Recombination Activating Gene 1
RAGE|Receptor Advanced Glycation Endproducts
RAI1|Retinoic Acid Induced 1
RAMP1|Receptor Activity Modifying Protein 1
RAMP2|Receptor Activity Modifying Protein 2
RARA|Retinoic Acid Receptor Alpha
RARB|Retinoic Acid Receptor, Beta
RARG|Retinoic Acid Receptor, Gamma
RAR|Retinoic Acid Receptor
RAR|Retinoic Acid-binding Receptor
RAS|Retrovirus Associated Sequence
RBBB|Right Bundle Branch Block
RBC|Red Blood Cell
RBC|Red Blood Cells
RBC|Red Blood Corpuscule
RBD|Receptor Binding Domain
RBE|Relative Biological Effectiveness
RBP1|Retinol Binding Protein 1
RBP2|Retinol Binding Protein 2
RBP3|Retinol Binding Protein 3
RBP4|Retinol Binding Protein 4
RBP|Retinol Binding Protein
RB|Rb Binding
RB|Retinoblastoma Binding
RCAC|Reproductive Concerns After Cancer
RCAD|Renal Cysts And Diabetes
RCC|Rcc, Clear Cell
RCC|Renal Cell Cancer
RCC|Renal Cell Carcinoma
RCC|Renal Clear Cell
RCM|Reflectance Confocal Microscopy
RDAS|Revised Dyadic Adjustment Scale
RDS|R Data Serialization
RDS|Respiratory Distress Syndrome
RDS|Retinal Degeneration, Slow
REEP1|Receptor Expression Enhancing Protein 1
RFC1|Replication Factor C 140-kd
RFC3|Replication Factor C, 36-kda
RFC3|Replication Factor C, 38-kda
RFC4|Replication Factor C, 40-kda
RFC|Replication Factor C
RFC|Replication Factor C1
RFP|Ret Finger Protein
RFP|Ring Finger Protein
RFX5|Regulatory Factor X 5
RFX|Regulatory Factor X
RFX|Regulatory Factor X-associated
RGM|Repulsive Guidance Molecule
RGNEF|Rho Guanine Nucleotide Exchange Factor
RHIO|Regional Health Information Organization
RI8|Real Imager 8
RIA|Receptor I A1
RIM|Reference Information Model
RIP|Receptor Interacting Protein
RIP|Rip-associated Ich1/ced3-homologous Protein
RI|Receptor I
RI|Rhode Island
RLC|Regulatory Light Chain
RLF|Rearranged L-myc Fusion
RMS|Reference Member State
ROA|Route Of Administration
ROD1|Regulator Of Differentiation 1
RORA|Rar-related Orphan Receptor A
RORA|Related Orphan Receptor A
RORB|Rar-related Orphan Receptor B
RORB|Rar-related Orphan Receptor Beta
RORB|Related Orphan Receptor B
RORB|Retinoid-related Orphan Receptor Beta
RORC|Rar-related Orphan Receptor C
RORC|Related Orphan Receptor C
RP2|Retinitis Pigmentosa 2
RPKM|Reads Per Kilobase Million
RPMI|Roswell Park Memorial Institute
RSIS|Repetitive Strain Injury Syndrome
RSV|Respiratory Syncytial Virus
RTK|Receptor Tyrosine Kinase
RT|Radiation Therapy
RT|Rhabdoid Tumor
RT|Rhabdoid Tumour
RVD|Right Ventricular Dysplasia
RWD|Real World Data
RWE|Real World Evidence
RXRA|Retinoid X Receptor, Alpha
RXRB|Retinoid X Receptor, Beta
RXRG|Retinoid X Receptor, Gamma
RXR|Retinoid X Receptor
S1|Spike 1
S2|Spike 2
S2|Subunit 2
S3|Subunit 3
S6|S6k-alpha 6
SA2|Stromal Antigen 2
SA3|Stromal Antigen 3
SAA|Serum Amyloid A-1
SAA|Serum Amyloid A1
SADS|Sudden Arrhythmic Death Syndrome
SADS|Sudden Arrythmia Death Syndrome
SAD|Sagittal Abdominal Diameter
SAE|Serious Adverse Event
SAE|Serious Adverse Experience
SAFB|Scaffold Attachment Factor B
SAM|Sterile Alpha Motif
SAP2|Srf Accessory Protein 2
SARS|Severe Acute Respiratory Syndrome
SARS|Severe Acute Respiratory Syndrome-related
SA|Statistical Analysis
SA|Surface Area
SBF1|Set Binding Factor 1
SBRT|Stereotactic Body Radiation Therapy
SCC1|Sister Chromatid Cohesion 1
SCCA|Squamous Cell Carcinoma Antigen
SCC|Small Cell Car.
SCC|Small Cell Carcinoma
SCC|Squamous Cell Cancer
SCC|Squamous Cell Car.
SCC|Squamous Cell Carcinoma
SCF|Stem Cell Factor
SCID|Severe Combined Immune Deficiency
SCL|Stem Cell Leukemia
SCN|Severe Congenital Neutropenia
SCPBI|Sickle Cell Pain Burden Interview
SCQ|Self-administered Comorbidity Questionnaire
SC|Saluda County
SC|South Carolina
SC|Spartanburg County
SC|Sumter County
SDO|Standards Development Organization
SDSP|Study Data Standardization Plan
SDS|Symptom Distress Scale
SD|South Dakota
SF8|Short Form 8
SFFV|Spleen Focus Forming Virus
SFRP4|Secreted Frizzled Related Protein 4
SF|Scatter Factor
SF|Short Form
SH2|Src Homology 2
SHBG|Sex Hormone Binding Globulin
SHH|Sonic Hedgehog Homolog
SHP|Short Heterodimer Partner
SHP|Small Heterodimer Partner
SH|Skin-homing Helper
SIAH2|Seven In Absentia Homolog 2
SILS|Single Item Literacy Screener
SIL|Squamous Intraepithelial Lesion
SKAP1|Src Kinase Associated Phosphoprotein 1
SKAP2|Src Kinase Associated Phosphoprotein 2
SKP1|S-phase Kinase-associated Protein 1a
SKP2|S-phase Kinase-associated Protein 2
SLAM|Signaling Lymphocytic Activation Molecule
SLA|Soluble Liver Antigen
SLA|Soluble Liver Autoantigen
SLA|Src Like Adaptor
SLE|Systemic Lupus Erythematosus
SLK|Ste20 Like Kinase
SLPI|Secretory Leukocyte Peptidase Inhibitor
SLPI|Secretory Leukocyte Protease Inhibitor
SMAD|Smad, Mothers Against Dpp
SMART|Sequential Multiple Assignment Randomized Trial
SMART|Sequential, Multiple Assignment, Randomized Trial
SMN1|Survival Motor Neuron 1
SMPX|Small Muscle Protein X-linked
SMPX|Small Muscle Protein, X-linked
SMRP|Soluble Mesothelin Related Peptides
SMRP|Soluble Mesothelin Related Proteins
SMUG1|Single-strand-selective Monofunctional Uracil-dna Glycosylase 1
SNAP|Soluble Nsf Attachment Protein
SNRPF|Small Nuclear Ribonucleoprotein Polypeptide F
SNRPN|Small Nuclear Ribonucleoprotein Polypeptide N
SOCS1|Suppressor Of Cytokine Signaling 1
SOCS2|Suppressor Of Cytokine Signaling 2
SOCS3|Suppressor Of Cytokine Signaling 3
SOC|System Organ Class
SOFAA|Survey Of Food Allergy Anxiety
SOP|Standard Operating Procedure
SOP|Standard Operating Procedures
SOS|Son Of Sevenless
SPECT|Single Photon Emission Computed Tomography
SPL|Structured Product Label
SPL|Structured Product Labeling
SPPB|Short Physical Performance Battery
SRCAP|Snf2 Related Crebbp Activator Protein
SRF|Serum Response Factor
SRP|Signal Recognition Particle
SRT|Stereotactic Radiation Therapy
SRT|Syllable Repetition Task
SSA|Sjogrens Ss-a Antigen
SSG|Scandinavian Sarcoma Group
